-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,7,7,7,-1,-1,-1,-1,-1,-1,7,7,0,0,0,0,7,0,0,7,0,0,0,13,23,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,7,6,7,-1,-1,-1,7,7,7,7,0,0,0,0,0,13,0,7,0,0,0,7,7,0,13,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,7,0,7,-1,-1,-1,7,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,7,7,7,7,0,12,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,7,0,7,-1,-1,-1,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,7,0,25,25,5,0,7,-1,-1,-1,-1,7,7,7,-1,-1,-1,-1,-1
-1,-1,7,0,7,-1,-1,-1,7,0,1,0,0,0,0,1,0,0,7,0,0,0,15,0,0,0,7,0,7,7,0,0,7,-1,-1,-1,-1,7,31,7,-1,-1,-1,-1,-1
-1,7,22,0,22,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,7,0,0,7,7,-1,-1,-1,7,23,7,-1,-1,-1,-1,-1
-1,7,0,0,0,0,25,0,0,0,0,0,7,0,0,0,0,14,0,0,0,0,0,13,0,7,7,0,7,0,0,0,13,7,-1,-1,-1,7,10,7,-1,-1,-1,-1,-1
-1,7,0,0,0,0,25,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,7,13,0,7,0,15,15,0,7,7,7,7,7,0,7,-1,-1,-1,-1,-1
-1,7,0,0,0,0,7,7,7,0,0,0,0,7,0,0,13,0,0,0,0,0,0,0,0,7,0,0,7,0,0,0,0,7,0,0,0,7,23,7,-1,-1,-1,-1,-1
-1,7,0,7,7,0,7,-1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,0,13,7,22,0,0,0,0,0,7,7,-1,-1,-1,-1
-1,7,0,0,0,0,7,-1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,7,23,23,7,7,0,7,7,0,0,0,0,0,0,0,0,13,0,7,7,-1,-1,-1
-1,7,0,15,0,0,7,-1,7,0,0,0,0,0,0,0,0,0,7,0,0,0,23,0,0,0,0,0,0,23,0,0,0,22,15,0,0,0,0,0,0,7,7,-1,-1
7,7,7,0,0,0,7,-1,7,0,2,15,0,7,7,0,0,0,0,0,1,0,23,0,0,10,0,0,0,24,0,0,0,7,0,0,0,14,0,0,0,0,7,7,-1
7,15,0,0,0,15,7,-1,7,13,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,23,0,0,0,7,0,0,0,0,0,0,0,0,0,7,-1
7,0,0,10,0,0,7,-1,7,7,7,0,7,7,0,15,0,0,0,0,0,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,13,0,7,-1
7,0,0,0,0,0,7,-1,-1,-1,7,7,7,13,0,0,0,0,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,7,15,0,0,0,0,0,7,0,13,0,7,0,0,7,-1
7,13,0,0,0,10,7,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,0,0,0,0,10,0,0,0,0,0,0,0,7,-1
7,7,7,7,7,7,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,0,0,0,0,0,0,0,0,13,7,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,7,7,7,7,-1
