-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,-1,-1,-1,-1,7,7,7,0,5,0,7,7,7,7,7,7,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,7,7,7,23,10,23,13,0,0,2,0,0,0,0,2,23,12,0,7,-1,-1,-1,-1,7,0,0,0,0,0,8,7,9,31,8,7,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,7,2,0,0,7,7,7,7,7,7,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,0,0,29,2,0,0,7,4,24,0,7,-1
-1,-1,7,7,7,-1,-1,-1,-1,-1,-1,7,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,7,7,0,2,7,-1
-1,-1,7,6,7,-1,-1,-1,-1,-1,-1,7,0,2,0,0,0,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,17,0,23,2,2,0,0,0,0,0,0,0,8,9,0,0,7,-1
-1,-1,7,0,7,-1,-1,-1,-1,-1,-1,7,0,0,0,7,7,0,0,2,0,0,7,7,0,0,0,7,7,7,0,0,0,0,7,0,0,0,0,7,7,7,2,0,0,3,4,0,7,-1
-1,7,7,0,7,7,7,7,7,-1,-1,7,0,0,0,7,7,0,0,0,0,0,7,7,0,0,2,0,0,0,0,13,0,0,7,0,0,0,0,0,0,0,0,0,2,1,9,7,7,-1
-1,7,0,0,0,23,0,13,7,-1,-1,7,0,0,2,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7,7,-1
-1,7,0,10,0,23,0,11,7,-1,-1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,0,0,7,7,0,0,0,0,7,0,0,0,7,0,0,7,-1,-1
-1,7,0,1,0,7,7,7,7,-1,-1,7,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,-1,-1,-1,-1,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7,7,-1,-1
7,7,0,0,0,7,-1,-1,-1,-1,-1,7,0,0,0,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,0,11,7,0,0,0,7,0,3,4,0,7,7,7,7,7,-1,-1
